"ALTITUDE" "DRAINAGE" "RADIATION" "SLOPE"
"H08" 1270 4 15.3 3
"H09" 1265 3 15.4 3
"H10" 1260 1 14.8 3
"H11" 1260 1 14.8 3
"H12" 1265 3 14.8 3
"I01" 1225 5 14.6 23
"I02" 1250 3 15.1 3
"I03" 1255 5 15.1 3
"I04" 1255 5 15.8 8
"I05" 1260 3 15.3 3
"I06" 1260 5 15.3 3
"I07" 1260 3 15.1 3
"I08" 1260 1 15.1 0
"I09" 1265 1 14.9 3
"I10" 1270 3 14.8 3
"I11" 1275 5 14.8 18
"I12" 1275 3 15.1 3
"I13" 1255 4 14.5 8
"C01" 1120 5 15.1 3
"C02" 1130 5 15.1 0
"C03" 1140 4 15.1 0
"C04" 1140 5 15.1 3
"C05" 1140 3 15.1 3
"C06" 1140 3 15.1 3
"C07" 1130 3 15.1 3
"C08" 1125 5 15.1 0
"C09" 1120 1 15.1 0
"C10" 1115 1 15.3 3
"C11" 1110 3 15.4 3
"C12" 1110 3 15.3 3
"C13" 1130 4 12.8 28
"C14" 1130 5 15 8
"C15" 1120 2 15.4 3
"C16" 1115 1 15.4 3
"C17" 1110 1 15.3 3
"C18" 1105 1 15.3 3
"C19" 1100 1 15.3 3
"C20" 1090 2 15.6 8
"C21" 1080 2 15.5 8
"C22" 1070 2 15 8
"C23" 1050 3 15 3
"C24" 1030 3 15 3
"C25" 1020 3 15 3
"C26" 1010 1 14.9 3
"C28" 1010 1 15.2 3
"C29" 1025 3 15.2 3
"C30" 1040 3 16.3 23
"C31" 1050 3 16.1 18
"C32" 1070 3 16.2 23
"C33" 1090 3 16.1 23
"C34" 1140 3 15.9 23
"C35" 1190 5 14.3 28
"C36" 1220 5 16 28
"C37" 1230 5 15.8 8
"C38" 1220 5 16.4 18
"C39" 1220 2 15.9 28
"C40" 1240 2 15.3 3
"C41" 1250 1 15.1 0
"C42" 1260 1 15.1 0
"C43" 1260 1 14.9 3
"C44" 1260 1 15.1 0
"C45" 1260 1 14.8 3
"C46" 1260 2 14.9 3
"C47" 1260 5 14.5 8
"C48" 1255 5 14.5 8
"J01" 1260 4 15.1 3
"J02" 1260 4 14.7 3
"J03" 1260 2 15.1 0
"J04" 1260 3 15.1 0
"J05" 1265 3 15.1 3
"J06" 1265 1 14.8 3
"J07" 1265 4 14.9 3
"J08" 1270 4 14.9 3
"J09" 1265 5 14.9 3
"J10" 1260 3 14.8 3
"K01" 1180 4 14.3 18
"K02" 1220 4 14.9 13
"K03" 1250 4 15.1 3
"K04" 1255 5 15.4 3
"K05" 1265 3 15.1 3
"K06" 1265 1 14.9 3
"K07" 1270 3 15.1 3
"K08" 1270 1 14.8 3
"K09" 1270 3 14.8 3
"K10" 1275 3 15.1 3
"K11" 1285 4 14.9 3
"K12" 1275 5 14.5 8
"D01" 1120 5 15 3
"D02" 1140 5 15.1 0
"D04" 1160 5 15.1 0
"D05" 1150 3 15.4 3
"D06" 1135 5 15.1 0
"D07" 1120 5 15.1 3
"D08" 1110 5 15.1 3
"D09" 1100 3 15.1 3
"D11" 1085 5 15.3 3
"D12" 1080 1 15.3 3
"D13" 1070 2 15.3 3
"D14" 1060 1 15.3 3
"D15" 1060 1 15.4 3
"D16" 1065 1 15.4 3
"D17" 1070 1 15.3 3
"D18" 1065 2 15.4 3
"D19" 1060 1 15.1 3
"D20" 1050 1 15.1 3
"D21" 1040 3 15.1 3
"D22" 1020 3 15 3
"D23" 1000 1 15 3
"D24" 990 1 15 3
"D25" 980 1 15 3
"D26" 980 2 15 8
"D27" 980 1 15.2 3
"D28" 985 1 15 3
"D29" 990 1 14.8 13
"D30" 1010 1 14.9 3
"D31" 1030 2 14.4 8
"D32" 1030 2 14.7 8
"D33" 1050 5 14.7 13
"D34" 1075 5 14.6 13
"D35" 1100 5 13.9 28
"D36" 1150 4 13.5 38
"D37" 1200 4 14.9 8
"D38" 1230 4 15.5 8
"D39" 1250 5 14.9 0
"D40" 1265 3 15.1 3
"D41" 1270 2 15.4 3
"D42" 1270 1 15.3 3
"D43" 1270 3 15.4 3
"D44" 1275 4 16 23
"D45" 1280 3 15.1 0
"D46" 1285 3 15.4 3
"D47" 1290 3 14.8 3
"D48" 1290 3 15.1 3
"L01" 1250 5 15.8 13
"L02" 1260 3 15.6 8
"L03" 1270 1 15.1 0
"L04" 1270 3 14.9 3
"L05" 1265 1 15.4 3
"L06" 1260 3 16.1 13
"L07" 1265 3 15.6 8
"L08" 1270 4 15.3 3
"L09" 1275 3 16.1 13
"L10" 1280 5 15.7 8
"L11" 1275 4 15.3 3
"L12" 1270 4 14.5 3
"L13" 1265 5 10.7 28
"M01" 1220 4 15.3 3
"M02" 1235 4 15.8 8
"M03" 1245 3 15.1 3
"M04" 1250 3 15.4 3
"M05" 1250 3 15.4 3
"M06" 1240 5 15.4 3
"M07" 1235 3 15.8 8
"M08" 1230 3 16.1 13
"M09" 1225 1 16.5 23
"M10" 1220 4 16.3 23
"M11" 1215 4 15.9 38
"M12" 1240 3 15.9 28
"M13" 1255 4 15.7 18
"M14" 1290 4 14.8 13
"M15" 1310 4 15 3
"M16" 1275 3 13.1 3
"E.6" 930 5 13.9 8
"E.5" 950 5 14.6 8
"E.4" 990 5 14.9 8
"E.3" 1010 5 15.2 3
"E.2" 1030 5 16.4 23
"E.1" 1050 3 15.7 8
"E00" 1060 3 14.9 13
"E01" 1080 5 15.3 3
"E02" 1070 3 15.6 8
"E03" 1060 3 15.5 8
"E04" 1050 3 15.5 8
"E05" 1040 3 15.5 8
"E06" 1030 4 15 8
"E07" 1040 1 15.3 3
"E08" 1050 3 14.8 3
"E09" 1060 5 14.4 8
"E10" 1080 5 14.4 8
"E11" 1100 5 14.2 8
"E12" 1100 5 12.9 18
"E13" 1090 5 14.4 8
"E14" 1075 3 14.8 3
"E15" 1060 2 14.8 3
"E16" 1040 3 14.8 3
"E18" 1005 3 14.9 8
"E19" 985 3 14.9 8
"E20" 970 1 15 0
"E21" 970 2 15.4 8
"E22" 990 3 15.3 3
"E23" 1000 3 15.5 8
"E24" 1010 3 15.5 8
"E25" 1030 3 16.3 18
"E26" 1045 4 15.3 3
"E27" 1030 2 14.3 8
"E28" 1045 3 14.9 8
"E29" 1070 4 14.8 13
"E30" 1090 4 15.8 18
"E31" 1130 5 14.7 18
"E32" 1160 5 16 23
"E33" 1175 3 16.3 18
"E34" 1180 5 15.9 28
"E35" 1210 5 15.8 8
"E36" 1180 5 15.7 18
"E37" 1170 5 16.4 28
"E38" 1170 5 16.4 33
"E39" 1160 5 16.4 28
"E40" 1140 5 16.2 28
"E41" 1120 4 15.1 28
"E42" 1110 4 15.6 28
"E43" 1150 2 13.6 33
"E44" 1200 2 13.9 33
"E45" 1220 3 14 3
"E46" 1300 4 14 33
"E47" 1350 4 14.8 18
"N01" 1220 3 14.3 3
"N02" 1220 3 14.6 3
"N03" 1250 4 14.1 18
"N04" 1320 3 14.6 18
"N05" 1360 3 15.1 3
"N06" 1370 5 15.1 3
"O01" 1220 3 14.9 8
"O02" 1210 3 15.3 8
"O03" 1240 4 15.7 28
"O04" 1300 4 13.6 38
"O05" 1355 5 15.1 8
"O06" 1365 5 15.1 3
"O07" 1370 5 15.1 3
"F01" 1185 5 15.6 8
"F02" 1200 5 15.6 8
"F03" 1190 5 15.8 13
"F04" 1170 5 15.1 3
"F05" 1135 5 14.4 8
"F06" 1100 3 14.9 3
"F07" 1070 4 14.3 8
"F08" 1050 5 13.9 13
"F09" 1035 5 13.9 13
"F10" 1015 3 13.9 13
"F11" 1030 3 15 3
"F13" 1055 3 15.5 8
"F14" 1070 3 15.3 3
"F15" 1080 3 16.1 13
"F16" 1090 4 14.7 18
"F17" 1110 5 14.8 3
"F18" 1100 2 15.1 3
"F19" 1090 2 14.9 3
"F20" 1080 3 14.9 3
"F21" 1070 3 14.4 8
"F22" 1050 3 14.4 8
"F23" 1030 3 13.9 13
"F24" 1010 3 13.9 13
"F25" 985 3 13.3 18
"F26" 955 3 13.7 33
"F27" 980 3 14.8 13
"F28" 995 2 14.8 13
"F29" 1010 3 15 8
"F30" 1015 4 14.9 8
"F31" 1010 3 15 3
"F32" 1005 4 15.4 8
"F34" 950 2 15 3
"F35" 930 2 14.7 0
"F36" 950 3 15.5 18
"F37" 940 3 15.1 3
"F38" 940 3 15 3
"F39" 930 3 15.9 18
"F40" 920 2 15.2 8
"F41" 910 3 14.9 8
"F42" 910 3 14.6 8
"F43" 920 3 14.3 18
"F44" 950 5 13.3 28
"F45" 1000 5 14.3 28
"F46" 1080 3 12.8 33
"F47" 1210 3 14.7 18
"F48" 1210 5 15.8 18
"F49" 1250 4 16.3 23
"F50" 1290 5 16.4 23
"F51" 1330 4 16 23
"F52" 1360 5 14.4 28
"F53" 1365 5 15.1 3
"F54" 1370 5 15.1 3
"P01" 1180 3 14.1 28
"P02" 1190 1 14.7 8
"P03" 1210 3 14.6 18
"P04" 1240 3 14.6 18
"P05" 1270 3 15.8 18
"P06" 1310 4 14.4 23
"P07" 1365 3 15.1 0
"P08" 1370 5 15.4 3
"P09" 1365 3 15.1 0
"P10" 1365 5 14.9 3
"Q01" 1180 3 15.4 8
"Q02" 1215 4 15 8
"Q03" 1190 3 14.6 3
"Q04" 1190 3 13.4 13
"Q05" 1180 2 14.9 0
"Q06" 1185 2 15.1 3
"Q07" 1200 3 15.4 8
"Q08" 1240 3 16.3 28
"Q09" 1260 4 16.2 28
"Q10" 1280 3 15.8 23
"Q11" 1300 4 15.7 28
"Q12" 1310 4 15.4 28
"Q13" 1365 3 15.4 3
"Q14" 1365 4 14.9 3
"G01" 1205 4 14.9 13
"G02" 1215 4 14.8 3
"G03" 1210 3 14 13
"G05" 1195 5 14.3 8
"G06" 1180 5 14.9 13
"G09" 1115 3 15 8
"G10" 1095 5 14.2 8
"G11" 1075 3 12.9 18
"G12" 1060 3 14 13
"G13" 1045 2 14.5 8
"G14" 1030 5 15 8
"G15" 1020 5 14 13
"G16" 1015 5 14 13
"G17" 1010 5 14.5 8
"G18" 1010 2 14.6 18
"G19" 1045 3 16.3 18
"G20" 1065 5 14.9 13
"G21" 1070 1 15.4 3
"G22" 1075 1 15.4 3
"G23" 1080 1 15.1 3
"G24" 1085 2 15.1 3
"G25" 1090 4 15.1 3
"G26" 1085 3 15.1 3
"G27" 1070 3 14.9 13
"G28" 1020 5 14.8 13
"G29" 970 5 13.8 33
"G30" 930 3 14 28
"G32" 945 4 13.9 28
"G33" 955 4 15.7 8
"G34" 955 4 15.4 8
"G36" 940 3 14.8 8
"G37" 915 2 15.4 28
"G38" 910 3 13.9 13
"G39" 960 4 11.7 28
"G40" 1000 4 9.4 38
"G41" 1020 4 9.3 38
"G42" 1030 4 9.1 38
"G43" 1030 4 11.2 28
"G44" 1060 3 11.5 28
"G45" 1120 2 13.9 28
"G47" 1155 3 14.9 13
"G48" 1170 2 15.8 13
"G49" 1175 3 16.3 18
"G50" 1185 2 15.5 8
"G51" 1175 3 14.2 18
"G52" 1175 3 15.8 18
"G53" 1185 3 16 18
"G54" 1170 3 14.9 3
"G55" 1175 3 15.6 13
"G56" 1200 4 15.7 33
"G57" 1230 4 16 23
"G58" 1270 4 15.7 33
"G59" 1310 3 13.8 33
"G60" 1340 2 14 23
"G61" 1380 5 15.1 3
