"","orig","elevation","aspect","slope","av","swb","sprppt","sumppt","autppt","winppt","sprtmp","sumtmp","auttmp","wintmp","sprpet","sumpet","autpet","winpet","sprrad","sumrad","autrad","avetmp","ffd","dday","tcol"
"shosh..12","1V96N037",9900,240,50,0.07,-10,80.09,46.12,54.49,68.1,-1.48,4.12,-5.15,-7.01,11.16,59.85,2.99,0,22567.98,22184.27,11867.63,-3.21,132,562,-11.51
"shosh..13","1V901080",9260,234,8,0.04,-114,66.91,41,45.89,54.72,0.72,6.23,-3.64,-6.09,29.68,76.33,3.38,0,21576.35,21043.38,8838.43,-0.93,167,990,-10.3
"shosh..14","4V93R218",7720,170,15,0.12,-109,46.81,35.5,33.66,33.84,3.78,9.7,-0.71,-4.3,57.89,107.51,11.62,0,21780.96,21204.62,6137,2.77,211,1810,-7.7
"shosh..15","5V96M119",8600,336,25,0.79,-168,40.26,28.77,38.38,40.72,2.26,7.9,-2.52,-5.77,36.64,81.17,7.35,0,19339.75,18724.53,5912.29,0.52,187,1377,-9.8
"shosh..16","5V96I338",8820,99,63,0.68,-107,40.55,31.5,28.29,28.39,2.42,8.22,-2.14,-5.12,39.6,93.29,10.42,0,21613.01,21134.25,9810.05,1.04,188,1429,-8.57
"shosh..17","1V90L019",8700,12,53,0.98,207,53.36,40.53,44.44,49.97,2.77,8.3,-2.23,-5.4,36.01,66,4.63,0,15227.47,14617.95,3203.85,1.12,192,1484,-9.47
"shosh..18","4V95S105",8045,172,15,0.11,-139,44.38,31.45,43.33,47.19,2.79,8.47,-2.24,-5.58,49.88,99.43,11.74,0,22303.11,21845.04,10138.1,1.1,193,1509,-9.6
"shosh..19","1V90P002",7000,55,10,0.95,-298,40.53,33.75,34.56,35.84,4.04,9.61,-1.03,-4.81,58.63,101.28,10.51,0,20578.15,19975.78,6622.51,2.55,210,1833,-8.7
"shosh..20","1V96M061",8100,86,21,0.78,-140,54.64,37.43,38.33,43.27,2.55,8.06,-2.28,-5.33,39.46,86.81,8.36,0,20191.16,19622.47,7162.61,0.94,190,1426,-9.23
"shosh..21","1V90P005",7180,30,50,1,25,43.85,32.95,33.86,36.55,3.68,9.2,-1.39,-4.96,49.11,84.76,7.1,0,17876.65,17233.74,4502.76,2.1,205,1724,-8.8
"shosh..22","4V93R291",7040,39,57,0.99,-186,42.98,31.39,29.59,29.73,4.7,10.51,-0.44,-4.28,61.31,106.46,12.55,0,20100.73,19536.95,7901.85,3.44,219,2040,-8.3
"shosh..23","1V90L031",7300,110,9,0.59,-199,43.28,29.53,27.16,27.84,4.1,9.73,-1.08,-4.61,59.81,105.57,12.23,0,21281.87,20714.48,8723.54,2.65,210,1847,-8.5
"shosh..24","1V96M062",9800,88,23,0.76,-111,68.37,39.25,43.28,52.1,0.61,6.14,-3.71,-6.17,28.25,73.21,3.19,0,21007.5,20492.68,8323.9,-1,165,970,-10.44
"shosh..25","1V891018",8140,88,7,0.76,-190,54.94,36.38,36.83,41.68,2.59,8.07,-2.25,-5.33,40.63,90.47,9.32,0,21008.33,20450.66,7887.8,0.99,191,1431,-9.21
"shosh..26","4V89P050",6750,326,18,0.72,-112,38.9,28.59,29.94,30.21,4.8,10.4,-0.9,-4.75,56.41,91.9,7.35,0,17574.28,16923.05,4014.28,3.15,217,2031,-9.3
"shosh..27","4V93R392",9645,58,12,0.94,54,66.31,52.63,55.18,61.51,1.48,7.48,-2.38,-4.99,33.28,82.07,7.31,0,20350.49,19752.65,6847.33,0.48,177,1233,-7.98
"shosh..28","5V96I037",8980,223,61,0.01,74,44.92,32.34,47.59,53.08,1.45,7.27,-3.3,-6.4,34.8,87.65,8.96,0,21997.52,21543.62,10400.41,-0.31,176,1205,-10.71
"shosh..29","2V95S214",9570,159,28,0.19,-8,51.63,39.07,36.89,37.58,1.35,7.08,-2.84,-5.43,32.95,83.53,7.84,0,21543.76,21010.84,8070.03,0.02,174,1157,-8.74
"shosh..30","5V94H012",8970,200,12,0.01,-84,42.81,33.81,31.6,32.35,1.98,7.78,-2.47,-5.31,37.09,90.91,9.76,0,21901.27,21397.34,9558.05,0.6,183,1321,-8.8
"shosh..31","4V90P046",7200,238,47,0.06,-316,40.5,31.06,32.05,32.86,4.4,9.96,-1.3,-4.99,61.35,107.09,12.26,0,21115.14,20612.14,8785.98,2.64,213,1913,-9.5
"shosh..32","5V96I028",8880,90,37,0.75,106,44.11,31.72,47.56,52.94,1.57,7.4,-3.23,-6.42,33.44,80.61,7.44,0,20209.1,19637.08,7303.64,-0.21,177,1234,-10.75
"shosh..33","4V893001",7300,36,39,1,43,42.8,33.11,35.55,36.64,4.31,9.88,-1.33,-5,49.38,81.79,6.13,0,16318.48,15680.52,3561.85,2.56,211,1889,-9.43
"shosh..34","2V95D054",9320,14,61,0.98,203,49.84,37.65,28.17,27.29,1.89,7.56,-2.33,-4.95,28.28,61.08,2.81,0,15293.76,14578.83,2480.51,0.65,181,1267,-7.85
"shosh..35","4V93R122",6800,146,28,0.28,-350,39.93,28.6,22.14,19.92,5.13,11.07,0.53,-3.44,68.17,117.18,12.78,0,21246.36,20693.64,5396.88,4.34,230,2204,-6.88
"shosh..36","4V95G020",7970,55,48,0.95,100,51.33,40.98,44.32,46.93,3.43,9.15,-1.69,-5.1,50.21,90.93,7.57,0,19213.47,18568.44,5119.87,1.89,201,1676,-9.1
"shosh..37","4V95S113",7940,296,11,0.47,-100,42.49,30.05,41.05,44.51,2.94,8.61,-2.11,-5.48,47.45,89.67,8.49,0,19947.57,19321.89,6276.56,1.25,196,1547,-9.45
"shosh..38","1V90L015",7600,15,30,0.98,-96,42.09,31.83,33.02,35.76,3.87,9.39,-1.35,-4.95,56.62,99.97,10.23,0,20666.09,20070.32,7229.44,2.22,206,1772,-8.98
"shosh..39","4V95S071",7590,352,2,0.89,-322,43.06,30.19,37.52,39.86,3.47,9.09,-1.6,-5.13,52.04,93.9,9.55,0,20024.64,19378.46,6582.09,1.9,204,1679,-9
"shosh..40","1V901036",9555,230,18,0.03,-46,70.36,43.68,49.09,59.47,0.55,6.08,-3.73,-6.21,28.8,76.17,3.56,0,21906.89,21410.97,9898.75,-1.08,165,957,-10.48
"shosh..41","2V95S160",9800,42,47,0.99,-18,53.67,41.26,38.14,38.6,1.18,6.94,-2.81,-5.32,27.68,67.08,4.79,0,17832.65,17209.03,4838.66,0,172,1126,-8.57
"shosh..42","4V93R429",7760,10,20,0.97,-70,49.01,35.25,32.61,33.68,3.8,9.75,-0.58,-3.97,50.77,91.07,8.1,0,18397.79,17755.05,4923.74,2.96,211,1820,-7.09
"shosh..43","5V94H021",8360,346,10,0.86,-104,39.21,30.18,29.49,29.8,2.59,8.36,-2.06,-5.14,41.12,88.18,8.05,0,20157.23,19555.46,6720.74,1.18,191,1468,-8.62
"shosh..44","1V901027",9200,200,10,0.01,-102,67.44,41.75,46.14,55.61,0.98,6.48,-3.37,-6.03,31.95,80.6,7.63,0,22090.3,21604.2,9905.53,-0.6,171,1049,-10.1
"shosh..45","1V891031",7140,8,22,0.96,-224,47.41,31.35,29.45,32.33,3.58,9.09,-1.5,-4.95,50.66,90.45,8.23,0,19209.23,18573.09,5519.33,2,203,1693,-8.7
"shosh..46","1V901090",8000,160,22,0.18,-7,50.79,34.8,35.42,39.89,2.98,8.49,-1.92,-5.21,51.88,98.87,11.85,0,22122.26,21680.12,10497.45,1.41,197,1536,-9.08
"shosh..47","4V89P039",7300,246,60,0.1,-287,42.28,32.13,33.58,34.67,4.29,9.84,-1.37,-5.03,59.69,103.1,11.69,0,20562.04,19979.95,8224.92,2.53,211,1881,-9.5
"shosh..48","2V95S206",9110,330,63,0.75,-3,50.38,36.95,33.67,33.82,1.9,7.61,-2.39,-5.16,26.47,58.13,3.87,0,14366.37,13764.36,2984.53,0.56,182,1286,-8.32
"shosh..49","1V891026",7400,8,10,0.96,30,51.49,34.33,33.92,37.91,3,8.5,-1.92,-5.18,49.42,91.69,8.96,0,20421.32,19838.65,7054.29,1.43,197,1540,-9
"shosh..50","5V94H042",8900,154,18,0.22,53,42.19,32.33,36.88,38.86,2.02,7.74,-2.61,-5.61,38.04,89.61,9.4,0,21644.6,21130.58,9158.04,0.46,184,1322,-9.34
"shosh..51","1V891009",8200,84,28,0.79,-160,54.91,37.2,38.11,43.29,2.56,8.06,-2.29,-5.36,38.53,85.08,7.8,0,19829.51,19245.92,6725.78,0.95,190,1426,-9.3
"shosh..52","5V96I296",9460,240,37,0.07,38,45.78,35.78,31.26,31.67,1.63,7.42,-2.73,-5.38,34.92,89.93,10.13,0,22399.08,22018.99,11649.57,0.26,177,1232,-8.81
"shosh..53","1V90L028",8300,140,50,0.33,-93,43.4,34.28,35.96,39.02,3.68,9.21,-1.45,-5,58.13,105.03,12.67,0,22043.36,21547.65,9413.39,2.1,205,1723,-8.9
"shosh..54","5V96I121",8830,248,4,0.11,-75,43.02,31.34,43.24,47,1.77,7.53,-2.94,-6.1,36.36,86.25,8.72,0,21255.64,20709.62,8414.52,0,180,1273,-10.2
"shosh..55","4V93R412",8000,100,65,0.67,-190,53.08,39.35,38.06,40.37,3.24,9.21,-1.02,-4.19,50.91,98.94,11.3,0,20792.81,20293.3,8630.21,2.33,202,1670,-7.2
"shosh..56","1V891042",6680,30,60,1,12,48.59,31.59,29.64,32.4,3.49,8.99,-1.56,-4.95,47.29,84.39,7.63,0,18067.28,17480.09,5467.27,1.93,203,1667,-8.68
"shosh..57","5V94H039",9120,70,5,0.88,58,45.82,35.6,41.42,43.86,1.48,7.19,-3.03,-5.87,33.32,80,6.93,0,20521.15,19920.83,7222.38,-0.08,176,1191,-9.71
"shosh..58","1V901103",8240,270,36,0.25,-178,56.7,38.32,42,48.56,2.36,7.89,-2.35,-5.48,39.64,90.12,9.25,0,21314.88,20780.88,8666.36,0.72,189,1382,-9.35
"shosh..59","1V96N043",9900,256,18,0.15,-103,72.39,42.73,47.72,57.74,0.07,5.63,-4.05,-6.38,25.36,70.29,3.09,0,21474.53,20929.81,8613.92,-1.6,157,859,-10.7
"shosh..60","4V90P044",9000,330,55,0.75,80,61.92,51.65,56.84,62.17,2.25,7.84,-2.81,-5.71,34.69,74.55,5.01,0,18000.26,17358.99,4376.67,0.46,185,1354,-10.1
"shosh..61","4V93R306",8910,53,25,0.96,157,57.83,47.37,51.69,55.62,2.54,8.41,-1.93,-5.06,38.4,85.26,7.42,0,19369.42,18794.13,5712.43,1.21,190,1469,-8.5
"shosh..62","4V93R290",7000,294,55,0.45,-139,40.11,28.49,26.23,25.79,5.04,10.82,-0.25,-4.25,55.51,91.9,7.91,0,16935.66,16351.5,4310.61,3.72,223,2133,-8.48
"shosh..63","5V96M122",9700,284,12,0.36,29,52.48,39.09,54.74,60.75,0.58,6.34,-3.79,-6.5,28.91,75.63,3.57,0,21283.33,20737.21,8437.25,-1.11,165,1001,-10.76
"shosh..64","5V96I411",9360,146,14,0.28,-62,45.08,35.15,35.94,37.26,1.65,7.37,-2.82,-5.58,35.75,87.73,9.15,0,22016.67,21519.36,9742.35,0.14,178,1230,-9.2
"shosh..65","4V93R481",9440,60,45,0.93,73,53.64,41.99,39.68,40.62,1.55,7.38,-2.39,-5,28.44,66.79,4.84,0,16820.35,16188.91,3861.98,0.47,178,1223,-8.11
"shosh..66","5V96I005",7820,6,8,0.96,-82,33.88,24.31,34.75,37.2,2.68,8.48,-2.39,-6.08,41.04,91.43,8.7,0,20560.6,19971.8,7228.49,0.8,191,1503,-10.2
"shosh..67","4V96M010",6227,140,16,0.33,-531,35.9,22.86,16.61,14.09,5.64,11.63,0.91,-3.16,75.23,128.61,18.4,0,22334.96,21887.49,10811.26,4.95,236,2360,-6.7
"shosh..68","4V93R470",7680,340,55,0.82,-127,43.72,32.34,27.64,26.43,4.14,9.93,-0.43,-4.02,55.34,97.05,9.62,0,19318.23,18768.15,5123.69,3.19,215,1893,-7.31
"shosh..69","1V96N032",9640,115,45,0.54,-29,70.29,42.35,47.03,57.08,0.46,6.02,-3.73,-6.24,26.96,69.34,3.04,0,20307.45,19756,7858.05,-1.17,164,943,-10.47
"shosh..70","4V93R200",7910,130,25,0.41,-145,46.86,35.63,34,34.16,3.72,9.6,-0.77,-4.33,56.16,103.93,11.44,0,21165.71,20594.66,7616.27,2.68,210,1789,-7.7
"shosh..71","4V93R220",7540,220,12,0.01,-184,45.94,34.8,32.46,32.23,3.92,9.86,-0.55,-4.18,59.34,109.6,13.14,0,21807.91,21351.56,7933.73,3,213,1854,-7.6
"shosh..72","4V95S128",9450,230,54,0.03,-132,54.04,39.36,59.21,66.36,0.94,6.69,-3.71,-6.53,29.65,79.53,8.6,0,21331.09,20959.94,10428.25,-0.84,170,1074,-11.07
"shosh..73","1V90N004",6980,100,14,0.67,-349,44.23,29.17,26.19,27.67,4.05,9.67,-0.97,-4.39,58.4,104.07,11.6,0,21019.09,20465.51,8110.62,2.69,212,1833,-8
"shosh..74","2V95C039",7680,46,28,0.98,-226,45,31.37,19.83,17.47,3.94,9.62,-0.69,-3.97,57.27,102.26,10.6,0,20761.44,20190.35,7481.76,2.93,211,1800,-7.2
"shosh..75","4V89P042",7200,158,19,0.19,-228,40.25,30.63,30.56,31.31,4.4,9.96,-1.31,-4.96,64.11,111.56,13.96,0,22015.73,21503.81,9693.68,2.6,212,1911,-9.42
"shosh..76","4V93R081",8200,72,52,0.87,-219,52.64,40.31,36.92,38.27,3.41,9.49,-0.61,-3.95,50.5,97.03,10.63,0,20009.57,19465.49,7478.56,2.71,207,1736,-6.8
"shosh..77","4V93R131",6720,308,50,0.57,-109,41.1,29.67,23.43,21.48,4.9,10.86,0.36,-3.56,51.73,85.88,5.3,0,15940.39,15235.2,2467.2,4.1,226,2139,-7
"shosh..78","1V90L010",7900,40,63,0.99,-21,49.37,35.92,36.03,38.79,3.45,9.07,-1.6,-4.92,53.72,100.02,11.69,0,21257.43,20775.58,9093.95,1.93,201,1669,-8.7
"shosh..79","1V891001",6775,330,25,0.75,-258,42.47,28.73,26.4,28.07,4.08,9.58,-1.12,-4.74,53.67,91.24,8.04,0,18601.93,17951.12,4876.82,2.53,210,1828,-8.66
"shosh..80","4V89P020",8320,152,25,0.24,74,54.8,44.11,46.79,50.49,2.99,8.66,-2.08,-5.26,51.59,100.43,11.71,0,22134.46,21697.97,9960.84,1.36,194,1553,-9.18
"shosh..81","4V95G029",8480,335,64,0.79,133,61.02,49.8,62.18,67.32,1.84,7.52,-3.08,-5.93,27.38,60.41,3.75,0,15054.44,14467.69,3411.63,0.06,180,1269,-10.44
"shosh..82","5V96I310",9820,285,37,0.37,179,47.98,38.37,33.5,34.24,1.14,6.94,-3.09,-5.61,29.13,71.25,3.16,0,19020.4,18422.5,5917.87,-0.16,171,1120,-9.12
"shosh..83","1V891006",8200,354,40,0.9,-100,56.08,38.47,40.19,45.81,2.39,7.88,-2.43,-5.46,34.56,71.76,4.84,0,17182.07,16497.49,3500.37,0.74,188,1382,-9.41
"shosh..84","1V891035",7860,308,40,0.57,244,64.56,44.99,49.22,57.44,1.31,6.84,-3.24,-5.88,27.63,63.61,3.93,0,16855.41,16230.2,3481.35,-0.29,174,1128,-10.03
"shosh..85","1V90P403",7040,50,30,0.97,-275,45.42,29.87,27.28,28.91,3.93,9.56,-1.04,-4.45,55.09,97.04,9.49,0,19738.76,19127.91,6358.79,2.6,210,1802,-8
"shosh..86","1V90P027",7500,60,10,0.93,-77,49.12,34.65,36.45,40.41,3.22,8.75,-1.81,-5.12,49.28,90.26,9.13,0,19807.89,19261.11,7223.84,1.61,199,1601,-9
"shosh..87","2V95D035",8450,323,3,0.7,-70,45.28,33.16,22.38,21.04,3.02,8.72,-1.54,-4.53,46.37,86.24,6.73,0,19090.58,18464.32,5561.7,1.83,196,1550,-7.7
"shosh..88","1V891028",7100,39,23,0.99,7,49.1,32.5,31.19,34.39,3.34,8.85,-1.68,-5.03,49.04,88.43,8.08,0,19209.61,18572.87,5833.38,1.73,201,1628,-8.8
"shosh..89","4V93R496",9320,270,15,0.25,-83,52.29,40.71,39.65,40.91,1.8,7.57,-2.35,-5.11,32.54,77.74,7.28,0,19167.82,18512.62,6768.99,0.59,182,1272,-8.31
"shosh..90","5V96I259",8230,74,8,0.86,-292,38.31,28.05,33.55,35.06,2.79,8.45,-2.04,-5.26,47.36,92,8.96,0,20741.76,20186.53,7509.47,1.23,193,1505,-8.8
"shosh..91","2V95C052",8030,30,18,1,-105,45.89,32.67,21.42,19.32,3.47,9.14,-1.09,-4.2,49.27,89.1,7.28,0,18908.98,18285.07,5175.1,2.36,205,1668,-7.3
"shosh..92","1V901051",9400,275,20,0.29,-125,67.65,38.74,42.9,51.44,0.71,6.22,-3.65,-6.16,28.14,70.41,3,0,20040.43,19461.58,7105.12,-0.98,167,989,-10.38
"shosh..93","1V891022",8660,354,44,0.9,213,60.75,42.84,46.53,53.83,1.8,7.34,-2.86,-5.69,30.85,67.66,4.46,0,17151.45,16475.95,3815.82,0.13,181,1244,-9.73
"shosh..94","5V96I219",9180,317,34,0.65,-19,48.49,33.64,60.93,70.26,0.78,6.73,-4,-7.32,31.53,80.12,6.8,0,21460.16,20913.92,8565.41,-1.2,166,1077,-12.1
"shosh..95","4V95S050",7720,338,16,0.81,-207,47.94,36.49,33.79,34.02,3.94,9.97,-0.38,-3.98,55.32,99.84,9.85,0,19762.75,19116.89,6056.04,3.1,213,1870,-7.2
"shosh..96","1V96M063",9800,285,20,0.37,-100,69.04,39.47,43.79,52.88,0.51,6.03,-3.77,-6.22,27.45,71.44,3.19,0,20794.89,20265.52,8340.46,-1.11,164,947,-10.5
"shosh..97","4V95G004",7400,341,57,0.83,48,43.34,32.21,32.47,33.35,4.5,10.19,-0.89,-4.66,47.41,77.81,4.19,0,15199.83,14525.02,2417.89,3.02,215,1964,-8.92
"shosh..98","2V96I587",9700,148,69,0.27,-209,48.24,36.75,30.96,30.94,1.63,7.35,-2.66,-5.29,33.97,85.14,8,0,21326.38,20882.37,10456.67,0.24,176,1217,-8.45
"shosh..99","1V90P408",7840,50,10,0.97,53,52.38,34.94,35.34,39.12,2.83,8.46,-1.92,-4.94,47.62,91.57,9.27,0,20619.3,20043.53,7476.11,1.47,194,1511,-8.53
"shosh.100","1V90P057",8440,360,22,0.93,159,58.6,41.82,47.74,55.9,2.16,7.71,-2.55,-5.61,36.44,80.11,6.74,0,19409.58,18783.43,5825.29,0.54,186,1336,-9.6
"shosh.101","1V96M032",5840,150,5,0.25,-386,38.3,25.13,19.15,18.48,4.95,10.46,-0.41,-4.22,67.66,114.26,14.4,0,21503.33,21005.16,9184.53,3.58,222,2071,-8.2
"shosh.102","4V93R148",9680,330,40,0.75,207,57.36,45.57,46.37,48.87,1.33,7.31,-2.4,-5.04,29.33,71.77,5.2,0,18284.14,17667.36,4900.7,0.34,176,1196,-8
"shosh.103","1V90N036",7420,50,25,0.97,-51,51.14,33.49,33.21,36.75,3,8.59,-1.84,-4.94,46.71,86.66,7.58,0,19155.49,18535.84,5790.47,1.53,197,1548,-8.6
"shosh.104","4V89P048",9160,120,50,0.5,180,63.93,53.91,60.32,65.87,1.99,7.59,-3.05,-5.88,37.31,89.44,9.1,0,21824.99,21383.3,10075.04,0.13,182,1293,-10.3
"shosh.105","1V891020",8240,86,22,0.78,219,57.91,39.87,42.74,49.15,2.15,7.64,-2.62,-5.57,37.95,87.91,9.18,0,21312.01,20804.99,8619.2,0.5,185,1324,-9.6
"shosh.106","4V95S079",8180,14,13,0.98,-36,44.92,32.14,42.56,46.04,2.64,8.3,-2.31,-5.56,41.19,81,6.98,0,18531.43,17925.75,5320.63,0.98,192,1468,-9.5
"shosh.107","4V93R452",8100,185,29,0.05,-41,51.69,37.89,35.63,37.78,3.48,9.5,-0.77,-4.06,54.65,105.81,12.9,0,21556.07,21124.24,9809.42,2.64,206,1743,-7.07
"shosh.108","1V91W005",9200,325,10,0.71,-75,67.36,41.71,46.03,55.39,0.95,6.47,-3.41,-6.04,29.74,72.13,5.33,0,19926.74,19308.74,6425.31,-0.64,171,1046,-10.2
"shosh.109","2V95D015",8210,195,14,0.02,-243,45.19,32.75,21.75,19.82,3.27,8.94,-1.34,-4.39,52.96,99.6,10.32,0,21474.06,20970.14,9205.48,2.1,200,1611,-7.6
"shosh.110","1V90L005",7180,180,1,0.07,-225,42.88,28.66,25.88,26.74,4.09,9.67,-1.09,-4.63,60.32,107.1,12.93,0,21644.72,21146.79,8579.51,2.6,210,1838,-8.5
"shosh.111","5V96I093",8480,158,25,0.19,57,42.14,29.46,52.4,59.65,1.62,7.5,-3.34,-6.89,36.51,87.08,8.5,0,21376,20834.98,8473.97,-0.32,178,1260,-11.5
"shosh.112","2V95S211",9720,162,20,0.17,-180,52.13,39.77,38.32,39.38,1.18,6.89,-3,-5.54,31.56,79.74,6.42,0,21054.49,20466.56,7263.15,-0.11,171,1117,-8.91
"shosh.113","5V96I079",9300,23,6,1,78,50.05,35.38,59.1,67.29,0.67,6.63,-3.97,-7.06,29.63,76.16,4.03,0,20631.16,20003.44,7381.56,-1.2,166,1050,-11.7
"shosh.114","5V96I425",9395,159,12,0.19,111,45.8,36.14,38.05,39.57,1.48,7.21,-2.96,-5.68,34.19,83.6,7.95,0,21391.55,20855.1,8667.89,0,176,1192,-9.4
"shosh.115","1V90L024",9200,40,69,0.99,-24,65,47.61,56.46,67.28,1.79,7.33,-2.89,-5.82,31.74,71.1,5.9,0,17977.11,17388.86,4716.98,0.06,181,1246,-9.99
"shosh.116","4V93R279",7420,129,58,0.42,-139,46.19,34.83,34.66,35.79,4.22,10.03,-0.9,-4.57,60.77,110.92,14.42,0,21758.32,21346.45,10606.59,2.87,212,1905,-8.6
"shosh.117","5V96I370",9960,256,42,0.15,53,50.06,40.33,38.32,39.94,0.77,6.55,-3.41,-5.87,27.53,71.2,3.42,0,19712.02,19184.82,7471.78,-0.65,166,1037,-9.55
"shosh.118","4V93R274",7000,182,18,0.06,-372,41.57,29.85,27.9,27.92,4.83,10.61,-0.43,-4.32,66.18,115.48,14.66,0,21526.37,21060.17,9498.44,3.54,220,2071,-8.5
"shosh.119","1V92W003",6980,52,30,0.96,-63,46.33,29.98,27.29,29.06,3.83,9.32,-1.31,-4.79,51.38,89.04,7.99,0,18493.41,17897.26,5188.13,2.29,208,1756,-8.6
"shosh.120","4V93R002",7650,160,8,0.18,-169,45.72,31.16,22.73,20.49,4.42,10.37,0.22,-3.17,56.03,97.33,8.95,0,18674.05,18020.26,4916.85,3.89,224,2004,-5.96
"shosh.121","1V90N003",6980,240,20,0.07,-360,44,28.97,25.95,27.42,4.07,9.69,-0.94,-4.38,59.46,105.91,12.45,0,21270.87,20746.68,8629.06,2.73,212,1841,-8
"shosh.122","1V901040",8900,12,13,0.98,-84,66.9,42.04,47.05,56.7,1.04,6.59,-3.35,-5.99,30.62,75.35,6.32,0,20437.59,19901,7598.4,-0.57,171,1070,-10.11
"shosh.123","1V891024",5900,256,0,0.15,-423,36.92,25.51,20.94,20.44,4.93,10.41,-0.5,-4.39,65.68,109.33,10.28,0,20625.96,20011.32,4431.91,3.4,220,2062,-8.5
"shosh.124","4V89P043",7930,198,13,0.01,31,51.17,40.15,41.86,44.92,3.34,8.97,-1.86,-5.13,54.57,102.78,11.86,0,22043.61,21538.5,9010.78,1.7,199,1639,-9.12
"shosh.125","4V93R065",7860,329,51,0.74,-246,47.78,33.29,25.48,23.61,3.94,9.95,-0.08,-3.34,55.21,100.11,10.65,0,19942.3,19357,6824.65,3.4,218,1876,-6
"shosh.126","2V96I567",8660,190,12,0.03,-205,44.74,33.35,22.96,22.4,2.69,8.48,-1.87,-4.68,48.6,98.58,10.37,0,22070.98,21607.38,10053.4,1.51,191,1480,-7.8
"shosh.127","4V93R169",9900,273,20,0.27,-63,56.72,45.02,44.58,46.44,1.36,7.31,-2.37,-5.02,31.17,77.88,7.12,0,19704.57,19131.62,6847.29,0.36,176,1197,-7.97
"shosh.128","1V891039",7560,8,10,0.96,1,51.71,37.29,40.75,46.2,2.87,8.44,-1.93,-5.28,48.44,93.66,9.55,0,20983.62,20416.31,7865.69,1.3,195,1521,-9.1
"shosh.129","5V96I380",8900,330,28,0.75,-57,41.54,32.18,32.06,32.84,2.2,7.94,-2.37,-5.32,37.06,85.25,7.81,0,20307.19,19722.1,7195.18,0.76,185,1367,-8.82
"shosh.130","5V96I148",8500,336,20,0.79,-89,38.76,27.48,45.14,50.21,2.04,7.79,-2.92,-6.48,36.95,83.78,7.44,0,20109.15,19506.79,6691.28,0.1,184,1341,-10.8
"shosh.131","5V96I365",9830,125,24,0.46,15,48.3,38.7,36.6,37.68,1.08,6.87,-3.17,-5.69,31,78.29,3.75,0,20770.43,20219.04,7939.69,-0.3,170,1108,-9.32
"shosh.132","4V93R478",9280,50,12,0.97,-79,53.45,42.11,40.31,41.24,1.71,7.54,-2.28,-4.99,34.15,83.76,8.35,0,20698.03,20149.49,7961.86,0.62,181,1262,-8.08
"shosh.133","5V96M136",9650,50,10,0.97,-5,47.24,32.88,46.78,49.87,1.25,6.9,-3.24,-6.08,31.82,76.2,6.49,0,20124.76,19524.43,6751.01,-0.35,174,1136,-10.25
