Site	Season	Lakes	Group	WT	DO	PH	CON	CODMn	TP	TN	NH3-N	NO3-N	NO2-N	Chla	SS	WD
Su-RB-1	Summer	RB	5	22.50	9.20	8.21	518.00	6.12	0.04	2.21	0.97	0.08	0.02	2.85	19.00	3.20
Su-RB-2	Summer	RB	5	21.80	8.80	8.27	518.00	5.55	0.11	1.79	1.03	0.06	0.08	12.16	17.00	3.40
Su-RB-3	Summer	RB	3	22.00	8.60	8.58	545.00	6.22	0.16	2.00	1.17	0.05	0.09	14.97	21.00	3.00
Su-RB-4	Summer	RB	3	21.80	8.10	8.63	589.00	6.00	0.35	2.00	0.83	0.08	0.13	19.65	12.00	2.70
Su-AB-1	Summer	AB	3	21.80	7.89	8.79	555.00	6.49	0.10	2.08	0.71	0.09	0.06	8.83	19.00	3.10
Su-AB-2	Summer	AB	4	21.90	7.07	8.37	555.00	6.53	0.11	0.11	0.86	0.08	0.07	15.46	24.00	3.20
Su-YM-1	Summer	YM	4	21.60	9.10	8.69	546.00	6.54	0.15	1.80	0.77	0.13	0.07	19.16	13.00	2.40
Su-NS-1	Summer	NS	5	23.40	10.60	8.65	756.00	7.35	0.17	1.41	1.55	0.08	0.11	25.83	18.00	2.90
Su-NS-2	Summer	NS	2	23.40	9.30	8.93	754.00	16.92	0.19	1.48	1.73	0.11	0.13	17.87	17.00	2.80
Su-HS-1	Summer	HS	3	23.10	8.95	8.71	597.00	6.44	0.12	1.43	1.21	0.09	0.09	13.94	18.00	3.30
Su-HS-2	Summer	HS	3	22.90	9.02	8.73	596.00	6.01	0.14	1.69	0.83	0.14	0.07	9.44	31.00	3.60
Su-HS-3	Summer	HS	4	23.20	9.07	8.70	596.00	8.46	0.12	1.39	1.06	0.07	0.07	16.09	25.00	2.80
Su-TH-1	Summer	TH	4	23.40	8.60	8.66	596.00	5.83	0.14	1.37	1.41	0.10	0.10	14.31	14.00	3.00
Su-TH-2	Summer	TH	4	23.20	8.85	8.67	594.00	16.92	0.12	1.48	1.31	0.09	0.09	18.81	21.00	3.20
Su-AM-2	Summer	AM	2	22.60	8.74	8.76	602.00	6.73	0.17	2.14	0.99	0.14	0.09	28.30	20.00	2.90
Su-AM-3	Summer	AM	4	21.30	8.32	8.79	571.00	6.32	0.14	2.33	0.89	0.09	0.07	27.68	36.00	3.30
Au-HB-1	Autumn	HB	2	18.40	7.62	7.51	1108.00	7.84	0.07	2.30	0.24	0.18	0.04	3.90	5.00	2.80
Au-DL-1	Autumn	DL	4	17.30	7.29	7.74	663.00	7.30	0.10	1.30	0.17	0.15	0.04	4.03	2.00	3.00
Au-DL-2	Autumn	DL	4	17.40	7.46	7.91	666.00	7.43	0.11	2.53	0.18	0.15	0.05	8.79	2.00	2.90
Au-DL-3	Autumn	DL	4	17.60	7.70	8.01	666.00	7.87	0.12	1.81	0.18	0.19	0.04	7.15	1.00	2.80
Au-TL-1	Autumn	TL	2	17.70	10.30	8.59	648.00	6.26	0.16	1.15	0.41	0.16	0.13	25.90	33.00	3.00
Au-TL-2	Autumn	TL	1	16.50	9.78	8.51	629.00	7.07	0.13	0.87	0.38	0.15	0.12	15.19	19.00	2.20
Au-TL-3	Autumn	TL	3	16.70	9.95	8.69	683.00	5.94	0.13	0.78	0.35	0.15	0.11	15.52	20.00	3.00
Au-YC-1	Autumn	YC	1	16.50	7.46	8.33	569.00	7.45	0.21	1.01	0.34	0.14	0.11	20.77	29.00	2.90
Au-XH-1	Autumn	XH	3	17.00	10.90	8.54	937.00	5.62	0.14	0.71	0.37	0.14	0.11	17.16	22.00	3.00
Au-XH-2	Autumn	XH	3	17.70	11.10	8.57	943.00	5.88	0.13	0.78	0.37	0.12	0.11	23.77	23.00	3.00
Au-XH-3	Autumn	XH	1	17.20	10.70	8.38	913.00	4.83	0.14	0.81	0.33	0.14	0.10	23.82	24.00	3.00
Au-RB-1	Autumn	RB	1	16.80	9.00	8.09	659.00	6.83	0.15	1.93	0.09	0.09	0.03	5.35	3.00	3.20
Au-RB-2	Autumn	RB	1	17.00	9.50	8.54	784.00	6.64	0.12	1.58	0.17	0.15	0.06	9.98	11.00	3.40
Au-RB-3	Autumn	RB	3	16.40	10.00	8.70	844.00	5.31	0.14	1.23	0.29	0.14	0.11	17.01	33.00	3.00
Au-RB-4	Autumn	RB	1	16.40	9.50	8.79	902.00	5.86	0.10	1.76	0.37	0.17	0.12	19.20	25.00	2.70
Au-AB-1	Autumn	AB	3	16.00	9.67	8.59	557.60	5.43	0.08	3.26	0.22	0.18	0.07	10.63	6.00	3.10
Au-AB-2	Autumn	AB	3	16.80	9.95	8.58	548.70	4.97	0.09	2.06	0.22	0.16	0.07	11.99	1.00	3.20
Au-YM-1	Autumn	YM	1	16.90	7.41	8.50	531.40	6.12	0.12	1.51	0.21	0.15	0.07	8.43	11.00	2.40
Au-NS-1	Autumn	NS	1	17.60	10.81	8.79	751.00	5.78	0.19	1.99	0.49	0.11	0.11	25.29	48.00	2.90
Au-NS-2	Autumn	NS	1	18.10	10.33	8.86	749.00	6.34	0.18	1.46	0.48	0.12	0.11	10.11	31.00	2.80
Au-HS-1	Autumn	HS	1	17.70	10.07	8.54	793.00	5.55	0.10	1.16	0.13	0.16	0.04	11.98	15.00	3.30
Au-HS-2	Autumn	HS	1	17.40	10.50	8.42	804.00	5.24	0.15	1.70	0.15	0.19	0.06	22.09	29.00	3.60
Au-HS-3	Autumn	HS	1	17.50	10.30	8.36	814.00	5.43	0.15	2.24	0.33	0.21	0.06	18.61	39.00	2.80
Au-TH-1	Autumn	TH	1	17.60	10.30	8.24	816.00	5.56	0.16	1.26	0.32	0.21	0.07	18.94	36.00	3.00
Au-TH-2	Autumn	TH	1	17.50	10.10	8.34	814.00	5.50	0.18	2.01	0.37	0.17	0.06	23.91	52.00	3.20
